_id,title,description,category,user,currentStatus,location_text,attachments,createdAt,updatedAt
"ObjectId(""6970bbd9794a0538886e8cc1"")",Road pothole in my street,There is a deep pothole right outside my house. It becomes very dangerous during rain and at night.,Roads & Infrastructure,"ObjectId(""6970b5d5ff85ba046c5688a1"")",SUBMITTED,Street No 4 Sector 15 Noida UP,https://www.shutterstock.com/image-photo/udaipur-india-september-06-2024-600nw-2522753671.jpg,2026-01-20T10:15:12.000Z,2026-01-20T10:15:12.000Z
"ObjectId(""6970bbd9794a0538886e8cc2"")",Garbage not picked up,Garbage has been lying here for days and smells very bad. Animals keep spreading it.,Sanitation,"ObjectId(""6970b5d5ff85ba046c5688a2"")",SUBMITTED,Andheri West Mumbai Maharashtra,"https://static.toiimg.com/thumb/msid-121737184,width-1280,height-720,resizemode-72/121737184.jpg",2026-01-20T11:05:44.000Z,2026-01-20T11:05:44.000Z
"ObjectId(""6970bbd9794a0538886e8cc3"")",Street light not working,The street light has not been working for more than a week. Area feels unsafe.,Electricity,"ObjectId(""6970b5d5ff85ba046c5688a3"")",IN_PROGRESS,Block B Rohini Delhi,https://www.hindustantimes.com/ht-img/img/2023/07/23/1600x900/A-non-functioning-street-light-at-southern-bypass-_1690134239324.jpg,2026-01-20T12:22:09.000Z,2026-01-21T09:10:00.000Z
"ObjectId(""6970bbd9794a0538886e8cc4"")",Water leaking from pipeline,Water is leaking continuously from underground pipe. Huge amount of water wasted.,Water Supply,"ObjectId(""6970b5d5ff85ba046c5688a4"")",SUBMITTED,JP Nagar 7th Phase Bengaluru Karnataka,https://www.hindustantimes.com/ht-img/img/2023/05/09/1600x900/Thane--India---May-09--2023--Water-being-wasted-du_1683660844427.jpg,2026-01-20T13:45:30.000Z,2026-01-20T13:45:30.000Z
"ObjectId(""6970bbd9794a0538886e8cc5"")",Drain overflow problem,Drain is blocked and dirty water flows on road after slight rain.,Drainage,"ObjectId(""6970b5d5ff85ba046c5688a5"")",IN_PROGRESS,Shivaji Nagar Pune Maharashtra,https://assets.thehansindia.com/h-upload/feeds/2019/04/08/162023-overflowing-drains.jpg,2026-01-20T14:30:18.000Z,2026-01-21T08:00:00.000Z
"ObjectId(""6970bbd9794a0538886e8cc6"")",Traffic signal not working,Signal is completely off and traffic police are not present.,Traffic Management,"ObjectId(""6970b5d5ff85ba046c5688a6"")",SUBMITTED,Hitech City Hyderabad Telangana,"https://static.toiimg.com/thumb/msid-123080792,width-1280,height-720,resizemode-72/123080792.jpg",2026-01-20T15:55:41.000Z,2026-01-20T15:55:41.000Z
"ObjectId(""6970bbd9794a0538886e8cc7"")",Broken road after repair,Recently repaired road has already broken. Very poor quality work.,Roads & Infrastructure,"ObjectId(""6970b5d5ff85ba046c5688a7"")",SUBMITTED,Lajpat Nagar Ring Road Delhi,https://www.vibesofindia.com/wp-content/uploads/2021/10/jpg-4.jpg,2026-01-20T16:40:09.000Z,2026-01-20T16:40:09.000Z
"ObjectId(""6970bbd9794a0538886e8cc8"")",Sewage water on street,Sewage water is overflowing and entering nearby houses.,Sanitation,"ObjectId(""6970b5d5ff85ba046c5688a8"")",IN_PROGRESS,Vijayanagar Mysuru Karnataka,https://c8.alamy.com/comp/BY8DEC/india-rajasthan-jodhpur-smashed-man-hole-cover-in-dilapidated-street-BY8DEC.jpg,2026-01-20T17:25:33.000Z,2026-01-21T07:45:00.000Z
"ObjectId(""6970bbd9794a0538886e8cc9"")",Park maintenance issue,Children play equipment is broken and unsafe.,Public Property,"ObjectId(""6970b5d5ff85ba046c5688a9"")",SUBMITTED,Sector 62 Noida UP,https://www.hindustantimes.com/ht-img/img/2025/07/25/1600x900/A-damaged-wall-of-the-Huda-park-at-sector-23A-near_1753469534065.jpg,2026-01-20T18:10:55.000Z,2026-01-20T18:10:55.000Z
"ObjectId(""6970bbd9794a0538886e8cca"")",No water supply,No water supply for last three days. Residents are suffering.,Water Supply,"ObjectId(""6970b5d5ff85ba046c5688aa"")",RESOLVED,Vaishali Nagar Jaipur Rajasthan,https://wp.technologyreview.com/wp-content/uploads/2019/04/sk-water-8-web-topper-10.jpg,2026-01-19T09:30:00.000Z,2026-01-20T10:00:00.000Z
"ObjectId(""6970bbd9794a0538886e8ccb"")",Frequent power cuts,Power cuts happening daily for hours.,Electricity,"ObjectId(""6970b5d5ff85ba046c5688ab"")",SUBMITTED,Civil Lines Prayagraj UP,https://assets.telegraphindia.com/telegraph/2022/Apr/1649683835_untitled-design-81.jpg,2026-01-20T19:40:10.000Z,2026-01-20T19:40:10.000Z
"ObjectId(""6970bbd9794a0538886e8ccc"")",Footpath encroached,Footpath is occupied by vendors and cannot walk properly.,Encroachment,"ObjectId(""6970b5d5ff85ba046c5688ac"")",IN_PROGRESS,Karol Bagh Delhi,https://images.hindustantimes.com/img/2021/12/12/550x309/0bb5c6d0-5b59-11ec-91cd-14ffdfd43e4d_1639330022304.jpg,2026-01-20T20:10:42.000Z,2026-01-21T09:30:00.000Z
"ObjectId(""6970bbd9794a0538886e8ccd"")",Illegal parking issue,Illegal parking causes daily traffic jam.,Traffic Management,"ObjectId(""6970b5d5ff85ba046c5688ad"")",SUBMITTED,MG Road Kochi Kerala,"https://static.toiimg.com/thumb/msid-123924086,width-1280,height-720,imgsize-221884,resizemode-72,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2026-01-20T20:55:27.000Z,2026-01-20T20:55:27.000Z
"ObjectId(""6970bbd9794a0538886e8cce"")",Street lights damaged,Street lights stopped working after storm.,Electricity,"ObjectId(""6970b5d5ff85ba046c5688ae"")",SUBMITTED,Sector 7 Panchkula Haryana,https://assets.telegraphindia.com/telegraph/23RanRMCLight3_192419.jpg,2026-01-20T21:30:11.000Z,2026-01-20T21:30:11.000Z
"ObjectId(""6970bbd9794a0538886e8ccf"")",Dirty public toilet,Public toilet is extremely dirty and unusable.,Sanitation,"ObjectId(""6970b5d5ff85ba046c5688af"")",IN_PROGRESS,Bus Stand Guntur Andhra Pradesh,https://pbs.twimg.com/media/GvHAsuEbUAA7eX6.jpg,2026-01-20T22:10:00.000Z,2026-01-21T08:30:00.000Z
"ObjectId(""6970bbd9794a0538886e8cd0"")",Water logging issue,Area gets flooded even after light rain.,Drainage,"ObjectId(""6970b5d5ff85ba046c5688b0"")",SUBMITTED,Salt Lake Sector 5 Kolkata WB,https://images.indianexpress.com/2024/07/mumbai-waterlogging-express.jpeg,2026-01-21T06:45:00.000Z,2026-01-21T06:45:00.000Z
"ObjectId(""6970bbd9794a0538886e8cd1"")",Broken manhole cover,Open manhole is very dangerous for vehicles.,Roads & Infrastructure,"ObjectId(""6970b5d5ff85ba046c5688b1"")",SUBMITTED,Old City Surat Gujarat,https://www.shutterstock.com/image-photo/broken-manhole-cover-damaged-asphalt-600nw-2625578691.jpg,2026-01-21T07:20:00.000Z,2026-01-21T07:20:00.000Z
"ObjectId(""6970bbd9794a0538886e8cd2"")",Garbage near school,Garbage pile near school entrance causing health risk.,Sanitation,"ObjectId(""6970b5d5ff85ba046c5688b2"")",IN_PROGRESS,Aluva Ernakulam Kerala,"https://static.toiimg.com/thumb/msid-61907842,width-1280,height-720,imgsize-68261,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2026-01-21T08:00:00.000Z,2026-01-21T10:15:00.000Z
"ObjectId(""6970bbd9794a0538886e8cd3"")",Damaged park walkway,Walking track inside park is broken and unsafe.,Public Property,"ObjectId(""6970b5d5ff85ba046c5688b3"")",SUBMITTED,Nehru Park Indore MP,https://www.shutterstock.com/image-photo/trees-on-narrow-broken-sidewalks-600nw-2517019537.jpg,2026-01-21T09:10:00.000Z,2026-01-21T09:10:00.000Z
"ObjectId(""6970bbd9794a0538886e8cd4"")",Water leakage near bus stop,Water leakage creating muddy area and traffic issue.,Water Supply,"ObjectId(""6970b5d5ff85ba046c5688b4"")",IN_PROGRESS,Ghodbunder Road Thane MH,https://www.shutterstock.com/shutterstock/photos/2011174088/display_1500/stock-photo-waterlogging-after-rain-at-gurugram-bus-stand-people-inside-the-bus-and-at-the-bus-stand-without-2011174088.jpg,2026-01-21T10:40:00.000Z,2026-01-21T11:30:00.000Z
